"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","blue1","blue2","blue3","blue_score"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm1","qm","1","1","frc1939","frc1984","frc1985","11","frc1806","frc1997","frc2972","15"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm2","qm","1","2","frc16","frc1982","frc3931","24","frc2410","frc3973","frc937","1"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm3","qm","1","3","frc1777","frc1785","frc967","8","frc1825","frc2949","frc3485","9"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm4","qm","1","4","frc1810","frc2345","frc931","0","frc2560","frc3784","frc4208","4"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm5","qm","1","5","frc1764","frc1782","frc1802","17","frc1094","frc2001","frc2346","6"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm6","qm","1","6","frc1737","frc1994","frc2004","18","frc1763","frc1986","frc935","27"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm7","qm","1","7","frc1730","frc2457","frc2996","33","frc1769","frc2335","frc2357","0"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm8","qm","1","8","frc1208","frc1448","frc1987","27","frc1108","frc1652","frc2164","12"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm9","qm","1","9","frc1723","frc1847","frc662","0","frc2167","frc2353","frc3528","37"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm10","qm","1","10","frc1775","frc2395","frc3507","17","frc1827","frc3284","frc3798","17"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm11","qm","1","11","frc525","frc935","frc938","37","frc1802","frc2874","frc3764","0"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm12","qm","1","12","frc1982","frc2345","frc2949","29","frc1094","frc1763","frc1985","19"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm13","qm","1","13","frc1208","frc1994","frc2335","6","frc2001","frc931","frc967","17"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm14","qm","1","14","frc1723","frc1782","frc2164","10","frc1652","frc2457","frc3931","3"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm15","qm","1","15","frc1984","frc2972","frc3528","24","frc1448","frc1764","frc2004","5"
