"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm1","qm","1","1","red","frc1574","frc3211","frc4661","frc3388","frc6738","frc7067"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm2","qm","1","2","blue","frc1943","frc5135","frc9304","frc1576","frc4319","frc5654"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm3","qm","1","3","red","frc1690","frc2096","frc6168","frc2230","frc2630","frc5554"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm4","qm","1","4","blue","frc3065","frc5990","frc6741","frc1577","frc4338","frc6740"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm5","qm","1","5","blue","frc4661","frc5654","frc6738","frc1574","frc3083","frc4319"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm6","qm","1","6","blue","frc1576","frc3388","frc5135","frc1690","frc1943","frc2630"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm7","qm","1","7","red","frc2096","frc6740","frc7067","frc4338","frc6168","frc6741"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm8","qm","1","8","blue","frc2230","frc3211","frc9304","frc1577","frc3065","frc3083"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm9","qm","1","9","blue","frc4319","frc5554","frc6738","frc1943","frc3388","frc5990"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm10","qm","1","10","blue","frc2630","frc4661","frc6168","frc2096","frc4338","frc5654"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm11","qm","1","11","red","frc1577","frc2230","frc5135","frc1690","frc7067","frc9304"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm12","qm","1","12","blue","frc1574","frc1576","frc5554","frc3065","frc3211","frc6741"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm13","qm","1","13","blue","frc3083","frc4661","frc6740","frc2096","frc2630","frc5990"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm14","qm","1","14","red","frc1690","frc2230","frc4319","frc1943","frc5654","frc7067"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm15","qm","1","15","blue","frc5135","frc5554","frc6741","frc1577","frc3211","frc3388"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm16","qm","1","16","red","frc1574","frc3083","frc5990","frc1576","frc3065","frc6740"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm17","qm","1","17","red","frc1690","frc4338","frc6168","frc2630","frc6738","frc9304"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm18","qm","1","18","blue","frc1943","frc5554","frc6741","frc3388","frc5654","frc7067"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm19","qm","1","19","red","frc1574","frc1577","frc6740","frc4319","frc4661","frc5135"
"2023isde1","ISR #1","2023-02-26","2023-02-28","2023isde1_qm20","qm","1","20","blue","frc1576","frc2096","frc3083","frc3065","frc6168","frc9304"
