"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm1","qm","1","1","frc1517","frc176","frc213","42","","frc1073","frc134","frc1922","21",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm2","qm","1","2","frc1307","frc1721","frc885","40","","frc1100","frc133","frc238","53",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm3","qm","1","3","frc1153","frc125","frc131","0","","frc1276","frc1350","frc58","44",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm4","qm","1","4","frc241","frc40","frc529","22","","frc1058","frc151","frc836","30",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm5","qm","1","5","frc1568","frc663","frc97","43","","frc1547","frc172","frc501","65",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm6","qm","1","6","frc287","frc42","frc95","39","","frc1138","frc1519","frc155","33",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm7","qm","1","7","frc1474","frc175","frc319","15","","frc1512","frc166","frc350","2",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm8","qm","1","8","frc1824","frc296","frc549","35","","frc1289","frc190","frc811","31",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm9","qm","1","9","frc1247","frc1831","frc562","19","","frc1307","frc134","frc138","35",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm10","qm","1","10","frc131","frc151","frc97","28","","frc1153","frc1517","frc885","2",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm11","qm","1","11","frc42","frc529","frc663","47","","frc133","frc1922","frc58","43",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm12","qm","1","12","frc1519","frc350","frc40","48","","frc1547","frc213","frc238","45",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm13","qm","1","13","frc175","frc549","frc95","32","","frc125","frc501","frc836","33",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm14","qm","1","14","frc1512","frc1831","frc296","54","","frc1721","frc176","frc287","0",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm15","qm","1","15","frc1247","frc1474","frc190","31","","frc1276","frc1568","frc241","82",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm16","qm","1","16","frc1289","frc155","frc166","30","","frc1073","frc1100","frc562","53",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm17","qm","1","17","frc1058","frc1350","frc1824","8","","frc1138","frc172","frc319","27",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm18","qm","1","18","frc131","frc138","frc811","50","","frc1547","frc175","frc529","24",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm19","qm","1","19","frc1307","frc176","frc42","30","","frc151","frc350","frc549","49",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm20","qm","1","20","frc134","frc1568","frc287","30","","frc1153","frc133","frc40","49",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm21","qm","1","21","frc1276","frc1289","frc95","17","","frc1512","frc1922","frc97","22",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm22","qm","1","22","frc1100","frc1247","frc1824","36","","frc125","frc1517","frc1519","36",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm23","qm","1","23","frc296","frc319","frc562","64","","frc238","frc241","frc663","19",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm24","qm","1","24","frc1058","frc166","frc501","23","","frc1831","frc190","frc885","15",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm25","qm","1","25","frc1073","frc1138","frc58","62","","frc1721","frc811","frc836","43",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm26","qm","1","26","frc1474","frc172","frc213","35","","frc1350","frc138","frc155","39",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm27","qm","1","27","frc131","frc1568","frc42","22","","frc1307","frc1512","frc1824","7",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm28","qm","1","28","frc175","frc40","frc562","16","","frc125","frc1922","frc296","62",""
