"event_key","event_name","event_week","event_start_date","event_end_date","event_type","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm1","qm","1","1","frc1519","frc1922","frc1973","33","","frc1512","frc78","frc95","67",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm2","qm","1","2","frc2342","frc238","frc3585","18","","frc151","frc213","frc3323","65",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm3","qm","1","3","frc1517","frc1831","frc61","56","","frc1277","frc166","frc230","53",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm4","qm","1","4","frc172","frc4034","frc58","51","","frc1058","frc3566","frc610","68",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm5","qm","1","5","frc1073","frc1153","frc3609","26","","frc131","frc175","frc1991","176",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm6","qm","1","6","frc229","frc2791","frc4546","61","","frc319","frc3360","frc811","14",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm7","qm","1","7","frc138","frc4124","frc885","75","","frc1247","frc1307","frc3467","10",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm8","qm","1","8","frc133","frc175","frc509","46","","frc1519","frc172","frc1729","77",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm9","qm","1","9","frc1991","frc3566","frc95","28","","frc3360","frc3585","frc78","41",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm10","qm","1","10","frc131","frc166","frc1973","56","","frc1247","frc229","frc319","30",""
