"key","number","name","city","state_prov","country","rookie_year"
"frc1","1","The Juggernauts","Pontiac","Michigan","USA","1997"
"frc100","100","The Wildhats","Woodside","California","USA","1995"
"frc1002","1002","CircuitRunners Robotics","Marietta","Georgia","USA","2003"
"frc101","101","Striker","Chicago","Illinois","USA","1997"
"frc1011","1011","CRUSH","Tucson","Arizona","USA","2003"
"frc1014","1014","Bad Robots","Dublin","Ohio","USA","2003"
"frc1018","1018","Pike RoboDevils","Indianapolis","Indiana","USA","2003"
"frc102","102","The Gearheads","Somerville","New Jersey","USA","1998"
"frc1023","1023","Bedford Express","Temperance","Michigan","USA","2003"
"frc1024","1024","Kil-A-Bytes","Indianapolis","Indiana","USA","2003"
"frc1025","1025","Impi Warriors","Ferndale","Michigan","USA","2003"
"frc1027","1027","Mechatronic Maniacs","West Springfield","Massachusetts","USA","2003"
"frc103","103","Cybersonics","Kintnersville","Pennsylvania","USA","1997"
"frc1038","1038","Lakota Robotics","Liberty Township ","Ohio","USA","2003"
"frc1051","1051","Technical Terminators","Mullins","South Carolina","USA","2003"
"frc1056","1056","Hot Rocks","Hilo","Hawaii","USA","2003"
"frc1058","1058","PVC Pirates","Londonderry","New Hampshire","USA","2003"
"frc1065","1065","The Moose","Kissimmee","Florida","USA","2003"
"frc107","107","Team R.O.B.O.T.I.C.S.","Holland","Michigan","USA","1997"
"frc1071","1071","Team MAX","Wolcott","Connecticut","USA","2003"
"frc1072","1072","Harker Robotics","San Jose","California","USA","2003"
"frc1073","1073","The Force Team","Hollis","New Hampshire","USA","2003"
"frc1075","1075","Sprockets","Whitby","Ontario","Canada","2003"
"frc1076","1076","Pi Hi Samurai","Ann Arbor","Michigan","USA","2003"
"frc108","108","SigmaC@T Robotics Team","Fort Lauderdale","Florida","USA","1995"
"frc1080","1080","Resurgence Robotics","Henrico","Virginia","USA","2003"
"frc1085","1085","Aquatic Robotics","Avon","Connecticut","USA","2003"
"frc1086","1086","Blue Cheese","Glen Allen","Virginia","USA","2003"
"frc1089","1089","Team Mercury","Hightstown","New Jersey","USA","2003"
"frc1091","1091","Oriole Assault","Hartford","Wisconsin","USA","2003"
"frc1094","1094","Channel Cats","O Fallon","Missouri","USA","2003"
"frc1099","1099","DiscoTechs","Brookfield","Connecticut","USA","2003"
"frc11","11","MORT","Flanders","New Jersey","USA","1997"
"frc1100","1100","Inverse Polarity","Northborough/Southborough","Massachusetts","USA","2003"
